Fecha       Temperatura máxima      Temperatura mínima
2021-11-18      14                  0
2021-12-04      16                  3
2022-01-01      11                  2
2022-01-28      12                  1
2022-02-04      13                  2
2022-03-15      15                  4
2022-04-12      17                  4
2022-05-25      20                  8
2022-06-07      21                  9
2022-07-27      25                  13
2022-08-02      23                  10
2022-09-23      19                  6
2022-10-11      18                  5
2022-11-07      16                  3
2022-12-09      10                  0
2023-01-05      13                  2
2023-02-08      12                  0
2023-03-21      16                  5
2023-04-03      20                  7
2023-05-19      22                  10
2023-05-20	30     		    -1
2023-06-01	9		    9
2023-06-13	14	            7
2023-07-12		18					12
